,Unnamed: 0,Unnamed: 0.1,date,text
300,451,53243,2018-11-21 23:20:40,Bringing back this old piece for Eevee Day! 
301,452,53244,2018-11-21 23:20:39,"I'm only in the middle of 4 unfinished games, so it's a great time to start this.  "
302,455,53247,2018-11-21 23:20:33,cutie 
303,456,53248,2018-11-21 23:20:27,Breaking Bad. 
304,460,53252,2018-11-21 23:20:07,i love him  
305,461,53253,2018-11-21 23:19:59,shiny pidgey 
306,462,53254,2018-11-21 23:19:56,RIP Marowak. 
307,463,53255,2018-11-21 23:19:50,When Chansey won't stop spawning when you want Gastly instead LUL - LIVE   
308,465,53257,2018-11-21 23:19:46,"Another hour of my time wasted on trying to catch a specific Pokmon ^^1 hour of walking around in the cave to get Onyx so I can ride on him the problem is,I took him out of my party sigh....I need to get a life"
309,468,53260,2018-11-21 23:19:36,lets go!! while watching streaming at 
310,469,53261,2018-11-21 23:19:34,THIS WAS SO DIRTY!!!! 
311,470,53262,2018-11-21 23:19:33,My Pikachu in just did a series of high fives with me &amp; now I am ded from cute. '
312,472,53264,2018-11-21 23:19:32,Was there always a Potion behind this bush in Viridian? o.0' 
313,473,53265,2018-11-21 23:19:30,Shiny!!!!! 
315,476,53268,2018-11-21 23:19:03,I've always liked the look of Shiny Gastly. 
316,477,53269,2018-11-21 23:18:50,a long held tradition 
318,479,53271,2018-11-21 23:18:48,How my pokemon journey had ended 
320,481,53273,2018-11-21 23:18:27,Shiny Pidgey!  
321,482,53274,2018-11-21 23:18:21,Look I know everyones upset that Pikachu is overpowered in Lets Go but in the original anime he destroyed an Onyx so sorry haters thats just cannon 
324,487,53279,2018-11-21 23:18:01,A sad misunderstanding in 2 parts. 
325,493,53285,2018-11-21 23:17:34,this is getting out of hand! now there are 2 of them! 
326,494,53286,2018-11-21 23:17:33,Found my first shiny in You can see I was a bit nervous. :v 
328,497,53289,2018-11-21 23:17:19,"One thing I am liking about so far is the difficulty curve. Its not too hard, but its also not a baby game for babies. Im actually able to use Pokmon like Squirtle and Jigglypuff without them getting bodied by everything.'"
329,498,53290,2018-11-21 23:17:15,Considering a PokeBall Plus giveaway. Should I? 
330,499,53291,2018-11-21 23:17:14,Draw me like one of your french girls. 
331,500,53292,2018-11-21 23:17:11,"Having a one month old baby won't be what keeps me up, it will be because it's so GOOD!"""
332,504,53296,2018-11-21 23:16:39,Just finished the main story of in under a week. Clocked out at 30 hours flat. This is the FIRST time i WANTED to finish a pokemon game. I couldnt put it down. And it will be the first time ill complete the Pokedex Also: fkn ruined my pic 
333,507,53299,2018-11-21 23:16:34,Two shinies back to back: 128 and 129 
334,508,53300,2018-11-21 23:16:26,This game has been the best form of therapy lately. So blessed 
335,510,53302,2018-11-21 23:16:14,look at her!!! 
337,512,53304,2018-11-21 23:15:59,Can we catch em all? Tonight at 7pm EST we are sure going to try! Join us for all the  fun! 
338,513,53305,2018-11-21 23:15:43,Lorelei is what I aspire to be. A cool ass icy bitch. 
339,515,53307,2018-11-21 23:15:41,They are so happy it hurts... 
341,517,53309,2018-11-21 23:15:33,Not bad 
344,521,53313,2018-11-21 23:15:05,let's get some SHINIES 
345,522,53314,2018-11-21 23:15:02,My skills as a Pokmon trainer has reached Master Level. The 1st playthrough continues right HERE!!!
346,523,53315,2018-11-21 23:15:00,SHINY DRAGONITE!!!!! 
348,526,53318,2018-11-21 23:14:43,ABSOLUTE UNIT 
350,528,53320,2018-11-21 23:14:26,"is a lot like trying to navigate a shopping mall to get what you want, but you keep having aggressive kiosk sale people up in your face every few feet.'"
351,530,53322,2018-11-21 23:14:11,lil Sebastian appeared 
352,531,53323,2018-11-21 23:14:09,"Got All 8 Badges, got my BEAST Squad trained upWho tryna catch this Fade online? "
353,532,53324,2018-11-21 23:14:06,"scored 9/9/10/9 from Famitsu, niiiiiice!!! "
354,534,53326,2018-11-21 23:13:54,SHINY CATERPIE 
355,538,53330,2018-11-21 23:13:40,Random encounter!! 
356,540,53332,2018-11-21 23:13:29,"Suddenly, I'm playing World of Final Fantasy "
360,546,53338,2018-11-21 23:12:43,we out here 
361,547,53339,2018-11-21 23:12:39,"Jesus, the Drowzee I took for a stroll found /15/ Rare Candies "
362,549,53341,2018-11-21 23:12:13,I was inspired by to shiny hunt and found this guy immediately after my 31st catch combo! 
363,552,53344,2018-11-21 23:12:05,Brockanda forever!! (Twitch emote confirmed??) 
365,554,53346,2018-11-21 23:12:02,Don't you dare mistake me for one of those 44 Staryu scrubs 
366,555,53347,2018-11-21 23:12:01,playin  
367,556,53348,2018-11-21 23:12:01,got this 3 beautys today 
368,560,53352,2018-11-21 23:11:42,Reasons to buy 
369,561,53353,2018-11-21 23:11:42,First shiny encounter! 
370,562,53354,2018-11-21 23:11:39,"Presenting your Pokemon League Champions:Eevee, Raichu, Blastoise, Venusaur, Golem, &amp; Gengar. "
371,563,53355,2018-11-21 23:11:35,"69 Clefairy's later still no Shiny, the 70th ran away "
373,565,53357,2018-11-21 23:11:15,Such a sweet baby... 
374,567,53359,2018-11-21 23:11:13,Let's go pikachu live with you!!
375,568,53360,2018-11-21 23:11:10,broke my growlithe chain but i think i'll live!! 
377,572,53364,2018-11-21 23:11:00,Amazing stats yes pls 
378,577,53369,2018-11-21 23:10:13,The designs in this game are pretty rad 
380,581,53373,2018-11-21 23:09:52,LETS GET IT 
381,582,53374,2018-11-21 23:09:52,390consecutive Psyduck 399captured in total only to find a Shiny Jigglypuff lv70 team and i only have 2 badge 
382,583,53375,2018-11-21 23:09:49,And ofc we got our Mew! 
383,586,53378,2018-11-21 23:09:23,Nintendo_is_ruining_my_life.jpg
384,587,53379,2018-11-21 23:09:17,The first time Ive ever seen the contraction who are used. 
385,591,53383,2018-11-21 23:08:49,"LIVE  Art Contest is LIVE! Continuing the Story, Team Rocket isnt getting away with this! Come hang out with us in the Sugar Stream and Collect SgrBits for Events and Giveaways!"
386,593,53385,2018-11-21 23:08:44,"I really, really love the partner Pokemon interactions. "
387,594,53386,2018-11-21 23:08:43,Ce remix... ! 
388,595,53387,2018-11-21 23:08:43,I think this is the only reference to the gen 1 character's dad in all the games 
389,596,53388,2018-11-21 23:08:36,YESSS!!! OMG I THREW MY JOY-CON AFTER I CAUGHT IT 
390,597,53389,2018-11-21 23:08:35,Represent  
393,600,53392,2018-11-21 23:08:12,Damn this guy proper went for my Paras!  
395,602,53394,2018-11-21 23:08:01,Into the Viridian Forest and encountering a Caterpie! 
397,607,53399,2018-11-21 23:07:30,This is so dumb lmao 
